generated,log_probs,linear_probs,correct_answer
A,-0.00066740223,99.93328204333302,A
B,-0.00053385197,99.94662905036085,B
B,-0.20191826,81.71617200114014,B
B,-0.003267434,99.67378982532959,B
B,-0.03339128,96.71600551568721,B
C,-0.594369,55.19107116753431,C
D,-0.00033748866,99.96625682828918,D
A,-2.2677195,10.35480523609198,C
D,-0.028469179,97.19322496083707,D
B,-0.0061390037,99.38798014818421,B
A,-0.00010747691,99.98925288654362,A
A,-0.85490227,42.532475603957714,C
A,-1.9767684,13.851614358040795,D
C,-0.004485543,99.55245020232621,C
B,-0.032079305,96.84297777102313,A
A,-0.005994206,99.40237234107039,C
B,-0.00018542144,99.98145957494927,B
D,-0.0007585271,99.92417605089564,D
D,-0.0024221526,99.7580778444652,D
C,-0.24243292,78.47163845883355,C
A,-0.15832938,85.35685872397991,A
C,-0.62418795,53.56962640922376,B
A,-1.6905236,18.44229348594684,B
A,-0.08431641,91.91403848710922,D
B,-0.00012856863,99.98714396345922,B
D,-1.0798124,33.96592397417456,B
B,-0.16868775,84.47726424652375,B
B,-2.356599,9.474189306494702,A
C,-0.4574134,63.29186374078437,B
D,-1.3744056,25.298992833489457,B
A,-1.1072801,33.04565486142393,B
B,-0.00083881535,99.91615363572497,B
A,-1.4036424,24.570039298640868,D
B,-0.014144112,98.59554460128406,D
D,-0.00015598179,99.9844030374527,D
A,-0.00047011464,99.95299958465729,C
B,-0.04852627,95.2632313326249,B
B,-0.0007872331,99.921307668668,B
C,-0.7586211,46.83117370528748,A
A,-0.0003205654,99.9679485975598,B
D,-0.00019042798,99.98095901502569,D
B,-0.58308506,55.81737082157729,D
C,-0.001203685,99.87970391382157,C
D,-0.07388365,92.87797510789734,B
D,-0.00057424,99.94259248442339,D
B,-0.00014048899,99.9859520878116,B
D,-0.010510644,98.95443998012524,B
C,-0.51050997,60.018942215392975,C
C,-0.0005871103,99.94130620155278,C
C,-0.22015165,80.23971052143534,A
C,-0.12449778,88.29402214915042,B
D,-0.060848866,94.09654409009718,A
D,-0.0002905334,99.97095088007413,D
A,-0.036041155,96.46005945287556,C
C,-0.4135264,66.13140754583881,B
A,-0.006909668,99.31141488688114,D
A,-0.18234313,83.33153558555455,C
C,-0.014806069,98.53030018724715,C
D,-0.0035695422,99.643682104222,D
C,-0.27917063,75.64108258239126,C
B,-0.035175018,96.54364327168359,B
A,-0.0027149995,99.72886827779277,A
C,-0.00067526236,99.93249655783185,C
C,-0.10622965,89.92181189211114,D
D,-9.436451e-05,99.99056399421903,D
A,-0.77704054,45.9764654993637,A
D,-2.0583985,12.765825096201015,B
A,-0.00048811073,99.95120083766625,A
B,-0.25041154,77.84803413389577,A
B,-0.14108762,86.84132179978906,C
D,-0.037831344,96.2875321897839,A
A,-0.000839404,99.91609482009845,A
C,-0.02462961,97.56712239756843,D
C,-0.35812232,69.89875696176071,C
D,-0.00039873365,99.96013458336972,D
A,-0.00012499251,99.98750153012384,A
A,-0.21214344,80.88486679921209,C
D,-0.00042340517,99.95766844533196,A
B,-4.310693e-05,99.99568939990904,B
D,-1.175996,30.851154911009303,D
D,-0.054573383,94.68890207512234,C
B,-7.278864e-05,99.99272140090287,B
A,-0.029415093,97.1013319969138,C
B,-0.002755426,99.72483667019179,B
B,-0.000197461,99.98025584941401,B
B,-8.44706e-05,99.99155329675406,B
D,-0.07221121,93.03343791345756,D
D,-8.44706e-05,99.99155329675406,D
C,-0.0019061435,99.80956720377796,D
A,-0.01915409,98.10281839627078,A
H,-5.070037,0.6282187695556173,A
A,-0.00016516048,99.98348531582413,A
C,-0.2608171,77.04218168799389,C
B,-0.00018744789,99.98125696772581,B
C,-0.31906876,72.68255710618396,C
B,-0.00054993347,99.94502177156954,B
C,-0.00023131118,99.97687155703684,C
A,-0.18096195,83.44671095652444,D
A,-0.00042328594,99.95768036328548,B
B,-0.44330537,64.19111567454368,D
B,-0.008402164,99.16330355268876,B
A,-1.1565723,31.456256116528685,C
A,-0.00010974178,99.98902642414089,A
A,-0.0006365468,99.93636557529338,A
C,-0.07319333,92.9421127668812,A
A,-0.17234881,84.16855336282882,B
C,-0.9486279,38.7272035029965,A
A,-2.3300676,9.72891701193336,D
C,-0.14838247,86.21013239851074,A
D,-0.07302724,92.95755080440698,D
C,-0.0012191668,99.87815760819134,C
C,-0.00012618455,99.98738234109355,A
C,-0.0011087824,99.88918320720789,C
A,-0.000468565,99.95315447594358,B
A,-0.04731372,95.37881282378441,A
D,-9.543734e-05,99.9904567213998,D
A,-0.0012459473,99.87548285700727,A
B,-0.005769515,99.42470966891835,A
A,-0.00036323295,99.96368330111012,A
A,-0.03392656,96.66424922554407,A
B,-0.09044969,91.35202919507564,D
C,-0.11544907,89.09659479773056,C
B,-0.00084131124,99.91590425630748,B
A,-0.10085135,90.40674125187213,A
D,-0.12955591,87.84854709205004,C
B,-0.014633753,98.54727999735869,D
C,-0.048169624,95.29721264231566,C
A,-0.00015896189,99.98410507437718,A
A,-0.44194844,64.27827764811036,D
D,-0.0007996229,99.92006967131954,D
A,-2.602795,7.40662734066494,B
B,-0.9023829,40.56019982765368,D
B,-6.50404e-05,99.9934961715081,B
C,-0.00013572084,99.98642883696566,C
D,-0.0062669516,99.37526447832798,D
A,-0.00033999194,99.966006585071,A
C,-0.30061135,74.03654598742655,A
C,-0.00055589364,99.94442608402433,C
A,-3.9888433e-05,99.9960112362533,A
C,-0.00021259987,99.9787422727751,C
D,-0.11919353,88.76359999431111,C
B,-0.34395838,70.89584342855166,D
C,-0.2746829,75.98130217376837,C
D,-0.1524853,85.85715148648993,B
B,-0.0007313779,99.92688894916242,B
D,-0.63882565,52.791201363753736,D
D,-0.013716202,98.6377436488277,C
B,-0.00028088156,99.97191578835323,B
C,-0.00013917775,99.98608319347737,C
C,-0.2513239,77.77704109200376,D
D,-0.07367426,92.89742486332628,D
B,-1.0054972,36.58626826486449,B
